68, 0, 65527
68, 2639, 65526
68, 2641, 65527
68, 2837, 65526
68, 2839, 65527
68, 3239, 65526
68, 3479, 65527
68, 3639, 65526
68, 3879, 65527
68, 4039, 65526
68, 4279, 65527
68, 4439, 65526
68, 4679, 65527
68, 4839, 65526
68, 5079, 65527
68, 5239, 65526
68, 5479, 65527
68, 5639, 65526
68, 5879, 65527
68, 6039, 65526
68, 6279, 65527
68, 6439, 65526
68, 6679, 65527
68, 6839, 65526
68, 7079, 65527
68, 7239, 65526
68, 7479, 65527
68, 7639, 65526
68, 7879, 65527
68, 8039, 65526
68, 8279, 65527
68, 8439, 65526
68, 8679, 65527
68, 8839, 65526
68, 9079, 65527
68, 9239, 65526
68, 9479, 65527
68, 9639, 65526
68, 9879, 65527
68, 10039, 65526
68, 10279, 65527
68, 10439, 65526
68, 10679, 65527
68, 10839, 65526
68, 11079, 65527
68, 11239, 65526
68, 11479, 65527
68, 11639, 65526
68, 11879, 65527
68, 12039, 65526
68, 12279, 65527
68, 12439, 65526
68, 12680, 65527
68, 12840, 65526
68, 13080, 65527
68, 13240, 65526
68, 13480, 65527
68, 13640, 65526
68, 13880, 65527
68, 14040, 65526
68, 14280, 65527
68, 14440, 65526
68, 14680, 65527
68, 14840, 65526
68, 15080, 65527
68, 15240, 65526
68, 15480, 65527
68, 15640, 65526
68, 15880, 65527
68, 16040, 65526
68, 16280, 65527
68, 16440, 65526
68, 16680, 65527
68, 16840, 65526
68, 17080, 65527
68, 17240, 65526
68, 17480, 65527
68, 17640, 65526
68, 17880, 65527
68, 18040, 65526
68, 18280, 65527
68, 18440, 65526
68, 18680, 65527
68, 18840, 65526
68, 19080, 65527
68, 19240, 65526
68, 19480, 65527
68, 19640, 65526
68, 19880, 65527
68, 20040, 65526
68, 20280, 65527
68, 20440, 65526
68, 20680, 65527
68, 20840, 65526
68, 21080, 65527
68, 21240, 65526
68, 21480, 65527
68, 21640, 65526
68, 21880, 65527
68, 22040, 65526
68, 22280, 65527
68, 22440, 65526
68, 22680, 65527
68, 22840, 65526
68, 23080, 65527
68, 23240, 65526
68, 23480, 65527
68, 23640, 65526
68, 23880, 65527
68, 24040, 65526
68, 24280, 65527
68, 24441, 65526
68, 24681, 65527
68, 24841, 65526
